,Class,Order,Family,Genus,Taxon,Unit,Terms,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Found Terms,Full term name
19,REPTILIA,CROCODYLIA,CROCODYLIDAE,Crocodylus,Crocodylus porosus,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,1384,714,1014,101,451,26,154,100,31,156,50,14,23,76,118,26,68,348,101,195,202,1380,1076,512,725,942,509,652,813,1262,1968,4272,1973,2286,6564.50001,1425.8,1094,LEA+LPL+LPS+SHO+SKO,leather products and items
22,MAGNOLIOPSIDA,APIALES,ARALIACEAE,Panax,Panax quinquefolius,,ROO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,28,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,12,0,ROO,roots
23,GASTROPODA,NEOTAENIOGLOSSA,STROMBIDAE,Strombus,Strombus gigas,,SHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,31875,87753,87048,103022,59577,63054,95323,16977,20028,837,6168,4188,9542,1233,122,167,28,400,834,640,517,SHE,shells
24,MAMMALIA,CARNIVORA,CANIDAE,Canis,Canis lupus,,SKI,0,0,366,12082,459,2744,2042,3339,1123,2490,5602,4020,4648,2666,2353,1423,2362,1057,275,623,2565,758,136,103,107,191,86,41,24,36,51,59,95,93,42,46,44,62,46,14,SKI,skins
25,MAMMALIA,CARNIVORA,FELIDAE,Panthera,Panthera pardus,,PLA+SKI,0,445,5,2,7,145,49,8,40,51,52,70,95,137,62,41,36,34,84,83,92,160,127,165,73,88,64,64,29,14,17,20,16,4,16,11,10,16,12,7,PLA+SKI,plates & skins
28,AVES,FALCONIFORMES,ACCIPITRIDAE,Accipiter ,Accipiter gentilis,,BOD,0,0,0,0,0,140,0,439,111,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,2,0,BOD,bodies
29,REPTILIA,SERPENTES,COLUBRIDAE,Xenochrophis,Xenochrophis piscator,,BOD,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,24,24,21,0,2,0,BOD,bodies
30,REPTILIA,SERPENTES,BOIDAE,Acrantophis ,Acrantophis dumerili,,LIV,0,0,0,0,0,0,0,2,3,4,5,7,11,6,14,25,12,1,10,18,12,9,0,0,3,0,0,5,0,5,4,0,0,0,0,0,1,0,0,0,LIV,live
31,AVES,PSITTACIFORMES,PSITTACIDAE,Amazona,Amazona aestiva,,LIV,0,0,0,0,0,0,2260,7162,7450,10033,8290,10353,11564,13658,7359,9323,9991,3287,15,20,15,257,214,627,1451,1655,2390,3453,3244,4912,3215,8,16,30,24,47,13,13,13,8,LIV,live
32,AVES,STRIGIFORMES,STRIGIDAE,Bubo,Bubo bubo,,LIV,0,0,3,7,4,0,1,0,0,20,0,10,13,10,3,15,9,3,10,1,1,1,4,3,6,2,0,3,1,3,2,0,6,3,5,12,5,0,2,0,LIV,live
33,REPTILIA,SAURIA,CHAMAELEONIDAE,Chamaeleo,Chamaeleo chamaeleon,,LIV,0,0,0,549,731,0,542,103,100,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,35,0,0,19,0,7,0,0,0,0,0,0,0,LIV,live
