,Class,Order,Family,Genus,Taxon,Unit,Terms,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
24,MAMMALIA,CARNIVORA,CANIDAE,Canis,Canis lupus,,SKI,,,II,II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
25,MAMMALIA,CARNIVORA,FELIDAE,Panthera,Panthera pardus,,PLA+SKI,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
28,AVES,FALCONIFORMES,ACCIPITRIDAE,Accipiter ,Accipiter gentilis,,BOD,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
29,REPTILIA,SERPENTES,COLUBRIDAE,Xenochrophis,Xenochrophis piscator,,BOD,,,,,,,,,,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III
30,REPTILIA,SERPENTES,BOIDAE,Acrantophis ,Acrantophis dumerili,,LIV,,,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
31,AVES,PSITTACIFORMES,PSITTACIDAE,Amazona,Amazona aestiva,,LIV,,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
32,AVES,STRIGIFORMES,STRIGIDAE,Bubo,Bubo bubo,,LIV,,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
33,REPTILIA,SAURIA,CHAMAELEONIDAE,Chamaeleo,Chamaeleo chamaeleon,,LIV,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
34,AVES,FALCONIFORMES,FALCONIDAE,Falco,Falco peregrinus,,LIV,II,II,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
35,AVES,FALCONIFORMES,FALCONIDAE,Falco,Falco tinnunculus,,LIV,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
