,Order,Family,Genus,Taxon,Unit,Term,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014
64,Crocodylia,Alligatoridae,Alligator,Alligator mississippiensis,,SKI,0,0,0,0,0,0,0,0,0,0,0,19,1,211,0,23,5,53,64,15,23,2,4,1,3,53,2,0,0,3,1,13,2,0,33,0,638,25,28,57
66,Carnivora,Felidae,Puma,Puma concolor,,PLA+SKI,0,0,0,0,0,0,0,2,5,1,3,1,4,1,7,7,6,1,4,3,3,0,3,0,1,0,0,2,1,0,1,1,0,2,0,0,1,2,1,1
67,Crocodylia,Crocodylidae,Crocodylus,Crocodylus niloticus,,TRO,0,0,0,0,0,0,0,1,1,8,11,1,2,0,2,0,1,4,1,0,2,4,1,0,0,0,0,1,1,0,3,2,0,10,7,4,6,10,20,2
68,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,,BOD+CAP,0,0,0,0,0,0,0,2,2,1,7,34,15,10,6,2,3,5,0,4,1,1,1,1,2,1,1,2,0,0,0,1,0,2,0,2,3,0,0,0
71,Psittaciformes,Psittacidae,Amazona,Amazona ochrocephala,,LIV,0,0,0,0,0,0,0,9,19,1,178,6,130,15,8,7,8,6,370,3,4,28,2,1,1,0,2,1,0,3,0,0,0,28,0,5,0,0,0,0
73,Veneroida,Tridacnidae,Tridacna,Tridacna crocea,,SHE,0,0,0,0,0,0,0,0,0,0,0,637,0,0,78,1434,565,0,15,0,3,87,1,2,12,1,1,1,2,3,21,3,3,7,8,19,1,2,0,0
74,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,,SKP,0,0,0,0,0,0,0,0,23,0,0,20,15,0,1,10,1,1,0,0,2,9,0,1,0,30,4,1,23,19,1,0,0,15,3,2,144,3,14,3
75,Artiodactyla,Hippopotamidae,Hippopotamus,Hippopotamus amphibius,,TEE+TUS,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,24,0,2,63,4,157,12,0,21,37,3,51,2,3,18,50,14,5,37,36,43,16,23,25,27
76,Primates,Cercopithecidae,Papio,Papio ursinus,,TRO,0,0,0,0,0,0,0,0,0,2,2,3,3,11,5,12,4,1,0,0,0,0,0,2,1,0,0,0,6,2,3,1,3,6,7,2,4,4,3,5
77,Crocodylia,Crocodylidae,Osteolaemus,Osteolaemus tetraspis,,BOD,0,0,0,0,0,0,0,1,1,2,7,1,2,4,4,6,8,4,3,3,3,3,0,0,1,0,1,0,0,1,3,3,0,0,1,0,0,1,0,0
78,Carnivora,Felidae,Leopardus,Leopardus pardalis,,BEL+FPL+FPS+FRA+GAR+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,0,0,12,10,5,13,9,7,18,8,78,10,13,6,333,9,1,10,1,4,1,0,1,0,0,0,0,0,5,0,1,1,5,1,3
79,Serpentes,Boidae,Boa,Boa constrictor,,LIV,0,0,0,0,0,0,0,0,0,0,0,4,36,68,4,67,31,11,366,1,3,1,158,4,0,2,0,0,3,10,1,0,2,1205,24,0,0,3,61,0
80,Osteoglossiformes,Osteoglossidae,Scleropages,Scleropages formosus,,LIV,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,64,24,17,10,0,0,0,73,0,6,22,36,37,2,1,40,5,1,39,23,0,3,1,1,2
81,Serpentes,Pythonidae,Python,Python bivittatus,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,0,0,0,236,36,13,50,44,36,14,55,58,75,22,73,48,11,0,161,28,151,5,224,0,328,0,15,3,149,92,262,129,342,703,1721
85,Carnivora,Felidae,Leptailurus,Leptailurus serval,,SKI,0,0,0,0,0,0,0,1,4,1,6,20,4,6,21,0,5,1,3,0,3,0,1,10,0,4,1,1,3,0,0,6,1,0,2,1,0,0,0,0
86,Carnivora,Felidae,Panthera,Panthera pardus,,SKP,0,0,0,0,0,0,0,0,0,0,0,23,0,1,1,1,0,4,1,0,461,17,7,3,3,1,3,0,3,302,2,0,1,55,1,1,0,3,4,0
87,Crocodylia,Crocodylidae,Crocodylus,Crocodylus niloticus,,SKU,0,0,0,0,0,0,0,3,0,1,0,1,0,2,17,0,4,8,6,6,4,2,0,3,0,1,0,0,1,0,0,3,8,20,2,1,0,5,3,3
88,Carnivora,Felidae,Panthera,Panthera tigris,,TEE,0,0,0,0,0,0,0,6,1,0,0,0,0,0,5,10,18,1,25,69,1,1,9,6,2,5,7,0,1,0,0,0,0,3,2,4,22,2,9,0
89,Artiodactyla,Bovidae,Kobus,Kobus leche,,TRO,0,0,0,0,0,0,0,1,0,0,1,2,0,3,3,0,0,0,1,1,0,2,0,1,4,2,0,0,0,1,3,1,4,2,3,2,4,2,2,1
90,Carnivora,Felidae,Panthera,Panthera leo,,TRO,0,0,0,0,0,0,0,0,0,4,6,3,1,0,4,0,1,1,0,1,1,2,0,0,2,1,0,0,0,1,1,0,1,5,5,1,10,4,9,5
92,Strigiformes,Tytonidae,Tyto,Tyto alba,,FEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,8,0,1,0,2,7,9,7,10,0,4,1,1,2,7,2,3,6,68,49,68,3
93,Psittaciformes,Psittacidae,Amazona,Amazona finschi,,LIV,0,0,0,0,0,0,0,135,1,0,0,0,0,2,2,1,1,4,7,0,11,4,0,1,4,3,2,3,1,68,0,2,3,0,0,1,1,0,0,0
94,Testudines,Testudinidae,Testudo,Testudo graeca,,LIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,8,2,41,50,1,3,1,0,6,2,303,0,0,2,1,2,1,206,10,4,252,5,2
96,Serpentes,Elapidae,Naja,Naja naja,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,0,0,0,0,0,2,3,7,0,256,87,569.5,223,51,251,45,12,12,82,10,2,0,2,3,36,9,27,2,7,21,1,3,6,23,0
97,Sauria,Varanidae,Varanus,Varanus exanthematicus,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,0,0,0,2,119,70,17,18,55,149,123,720,144,125.5,91,17,7,9,13,15,1,0,0,6,6,2,0,1,2,0,1,3,0,0,0
98,Mesogastropoda,Strombidae,Strombus,Strombus gigas,,SHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6000,4,16,2018,225,16,124,25,23978,184,1587,83,64,31512,279,24545,15879,33317,23131,4469
99,Crocodylia,Crocodylidae,Crocodylus,Crocodylus moreletii,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,0,0,9,35,82,8,21,79,57,46,87,16,15.5,14,13,14,8,32,144,151,24,0,9,0,0,2,0,0,2,8,4,4,0,6,8
101,Falconiformes,Accipitridae,Buteo,Buteo jamaicensis,,BOD,0,0,0,0,0,0,0,5,7,2,3,10,16,10,10,19,15,7,5,3,0,1,0,1,0,1,0,0,1,0,2,1,0,1,0,0,0,0,0,0
103,Strigiformes,Strigidae,Bubo,Bubo virginianus,,FEA,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,21,0,1,14,32,17,0,7,0,1,0,3,0,12,3,5,1,2,1,10,0,4,5,26,14
104,Carnivora,Felidae,Lynx,Lynx canadensis,,BEL+FPL+FPS+GAR+HAN+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,0,0,2,27,1,2,4,0,0,0,9,1,0,1,5,0,1,0,0,0,1,0,2,0,1,8,1,2,1,9,0,1,2,0,0
105,Cycadales,Cycadaceae,Cycas,Cycas revoluta,,LIV,0,0,0,0,0,0,0,0,0,0,1,3,3,0,1,9,0,1,7,0,0,3,9,1,8,13,7,0,5,89,145,132,0,1,0,4,3,0,0,0
106,Serpentes,Pythonidae,Python,Python regius,,LIV,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,222,43,570,342,500,648,0,300,520,0,0,0,0,5,1,30,0,85,351,83,2002,2006,23,6661,552
107,Serpentes,Boidae,Boa,Boa constrictor,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,0,0,61,370,405,147,14,830,137,22,244,83,25,4,48,14,17,11,4,15,1,22,28,0,1,4,0,6,37,13,9,2,960,0,1
110,Carnivora,Ursidae,Ursus,Ursus americanus,,SKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,1,2,4,3,2,5,2,0,4,2,7,8,4,2,2,4,1,9
111,Carnivora,Ursidae,Ursus,Ursus americanus,,SKU+TRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,4,4,4,11,10,5,4,9,13,4,19,1,14,48,32,52,21,33,31,38
112,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,,TRO,0,0,0,0,0,0,0,0,0,0,1,0,10,1,1,1,0,0,0,0,0,2,2,0,4,1,1,0,0,1,1,0,2,14,8,6,18,3,3,2
