1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,605
1983,781
1984,659
1985,920
1986,1032
1987,1091
1988,1168
1989,1450
1990,1892
1991,1777
1992,1569
1993,1523
1994,1356
1995,1274
1996,1207
1997,1177
1998,1467
1999,1528
2000,1371
2001,1251
2002,1256
2003,1318
2004,1404
2005,1561
2006,1604
2007,1527
2008,2613
2009,2758
2010,2559
2011,2578
2012,2422
2013,2154
2014,1977
