Class,Order,Family,Genus,Taxon,Unit,Terms,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Full term name
AVES,Psittaciformes,Psittacidae,Psittacus,Psittacus erithacus,,LIV,0,0,942,6480,3753,2579,12162,22921,25849,17325,16845,12843,12733,15783,9792,12530,10649,12319,6794,91,103,124,61,75,94,91,86,86,95,60,54,75,85,64,75,56,56,54,43,73,live
REPTILIA,Serpentes,Pythonidae,Python,Python reticulatus,,SID+SKD+SKP,0,0,0,0,430,630,1030,873,5963,15150,8609,7405,6542,33036,24739,3964,6761,17769,26498,52991,8646,762,112,1717,782,4515,44605,26131,14706,5035,7567,1938,4869,4243,2779,644,2839,1372,2932,765,"sides, skins & skin pieces"
MAMMALIA,Proboscidea,Elephantidae,Elephas,Elephas maximus,,CAR+CST+IJW+IVC+IVP+IVS+KEY+PKY+TUS,0,0,0,3,9,31,48,72,371,310,1366,88,6,6,132,422,11,156,63,31,300,319,332,387,385,570,391,212,443,835,559,892,426,233,565,1078,351,634,895,213.5,tusks & ivory products
REPTILIA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus porosus,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,21,49,157,2,1193,775,1095,881,2320,951,724,375,120,9062,109,113,240,319,142,1016,600,2255,1955,5167,3393,3558,5053,3615,4987,3799,3943,4919,3090,3151,4191,3730,3242,3429,leather products & items
MAMMALIA,Carnivora,Canidae,Canis,Canis lupus,,SKI,0,0,31,665,471,2433,289,587,1432,1093,1287,1446,1423,1148,1518,756,580,2391,3528,2612,1777,3043,3702,3034,3267,2683,2509,2338,2168,1905,1714,1705,1589,1273,1817,1262,1938,2295,2602,1159,skins
MAMMALIA,Carnivora,Felidae,Panthera,Panthera onca,,PLA+SKI,0,0,0,0,0,30,21,0,3,4,3,5,12,3,6,0,1,6,5,3,0,0,0,1,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,plates & skins
REPTILIA,Crocodylia,Alligatoridae,Caiman,Caiman crocodilus + subspecies,,BOD,0,0,0,0,7,44,65,29,22,7,5,36,47,36,22,16,9,22,39,32,15,26,161,137,236,96,129,109,56,189,24,71,8,162,0,135,0,0,0,0,bodies
MAMMALIA,Carnivora,Felidae,Panthera,Panthera tigris,,CLA,0,0,0,0,0,0,9,0,10,0,3,0,0,1,6,0,0,2,42,15,2,11,1,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,claws
AVES,Falconiformes,Accipitridae,Haliaeetus,Haliaeetus leucocephalus,,FEA,0,0,0,0,0,1,0,0,0,0,0,91,3,4,66,2,0,9,401,125,45,306,125,46,785,363,202,236,611,1976,2504,4084,5388,4629,4621,3742,3715,4361,2415,2070,feathers
AVES,Psittaciformes,Psittacidae,Amazona,Amazona autumnalis,,LIV,0,0,0,0,0,0,750,1566,3228,7212,4360,3283,3011,4273,2127,1140,584,26,29,14,19,23,85,18,28,15,21,170,10,5,4,6,4,2,1,0,1,0,2,1,live
BIVALVIA,Veneroida,Tridacnidae,Tridacna,Tridacna squamosa,,SHE,0,0,0,0,0,0,0,0,0,0,29240,59075,98554,308498,117578,84735,87880,17171,1,14,17,0,13,1,0,0,97,18,115,34,27,20,545,1141,370,1111,109,825,12,4,shells
REPTILIA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus niloticus,,SID+SKD+SKI+SKP,0,0,0,0,0,16,0,1,0,2,3,3,1,14,1,40,2,3,147,3,116,642,4228,8116,22292,21846,18617.5,45335,27464,18942,11911,7084,8735,5364,1600,4032,7802,10223,6261,10556,"sides, skins & skin pieces"
MAMMALIA,Perissodactyla,Equidae,Equus,Equus zebra hartmannae,,SKI,0,0,0,0,71,24,85,0,9,4,32,26,12,22,20,16,5,12,21,9,7,24,12,8,3,6,15,6,5,2,3,0,1,4,0,1,1,0,0,0,skins
REPTILIA,Serpentes,Pythonidae,Python,Python reticulatus,,SKI,0,0,6974,27498,30158,80773,117158,37430,50940,160070,184571,90103,129271,183542,93543,53189,74052,102522,150895,155825,110911,80832,52355,103967,52677,48885,21193,17488,19291,13825,22731,12160,14724,19593,13129,23125,11603,24850,16804,12109,skins
REPTILIA,Crocodylia,Alligatoridae,Alligator,Alligator mississippiensis,,SID+SKD+SKP,0,0,0,0,0,0,0,0,16,97,46,385,247,1146,7,62,1381,5222,3147,1650,3348,943,29439,31223,6181,5368,6259,7209,7484,31187,21034,40554,21186,8779,2151,1763,10140,4239,1420,1484,"sides, skins & skin pieces"
AVES,Psittaciformes,Psittacidae,Aratinga,Aratinga canicularis,,LIV,0,0,0,0,0,0,2701,512,99,1188,966,977,1768,886,1245,2,1,1,30,3,8,193,28,19,78,71,8,12,5,10,0,0,1,0,0,1,0,0,0,0,live
REPTILIA,Sauria,Varanidae,Varanus,Varanus salvator,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,2618,18054,48800,80364,81245,0,221795,367784,1197557,1093290,1706304,1863972,1615448,1192980,619325.5,305230.5,162895.5,168994,141746,155390.5,84114,227939,162929,204365,171656,151885,209620,142210,175826,185379,145115,119751,98497.5,150316.96,154372,146150.5,111668.5,62013,leather products & items
BIVALVIA,Veneroida,Tridacnidae,Hippopus,Hippopus hippopus,,CAR+SHE,0,0,0,0,0,0,0,0,0,0,122856,451696,320697,220748,188921,187155,121197,35107,2,0,389,7,2,14,82,21,13,51,35,23,25,36,29,5,1,126,13,13,15,5,carvings & shells
MAMMALIA,Carnivora,Felidae,Leopardus,Leopardus wiedii,,SKI,0,0,0,0,0,12,19,2,9,10,5,7,9,7,13,0,0,3,2,3,4,0,2,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,skins
MAMMALIA,Perissodactyla,Equidae,Equus,Equus zebra hartmannae,,TRO,0,0,0,0,10,22,67,1,35,22,77,37,62,28,38,26,71,42,62,34,41,54,75,102,128,143,175,209,265,300,416,450,619,600,805,512,423,471,508,538,trophies
AVES,Falconiformes,Accipitridae,Aquila,Aquila chrysaetos,,FEA,0,0,0,0,0,0,0,0,2,0,0,91,1,0,0,0,0,0,16,327,679,318,167,2,34,92,232,86,323,1042,884,848,2398,1607,2875,4462,4127,4082,2291,2047,feathers
AVES,Psittaciformes,Psittacidae,Amazona,Amazona albifrons,,LIV,0,0,0,0,0,0,1183,1861,1197,2275,3288,2693,2762,3836,1507,441,288,1,6,0,6,25,60,4,19,5,8,65,6,2,2,2,2,0,0,0,0,0,1,2,live
REPTILIA,Crocodylia,Alligatoridae,Caiman,Caiman crocodilus + subspecies,,SID+SKD+SKI+SKP,0,0,0,8077,2059,50195,96032,48138,57593,21168,121688,69867,45413,152972,50229,39417,50953,48407,66064,55429,83102,177208,138244,127267,213151,216291.5,227858,214213,190810,237543.5,202315,160496,244709,203591.5,80163,91266,94217,80919,166635,106322,"sides, skins & skin pieces"
MAMMALIA,Carnivora,Odobenidae,Odobenus,Odobenus rosmarus,,CAR+IVC+IVP+TUS,0,0,0,0,0,5,0,0,1759,34,24,73,9091,24961,32194,49827,172,6414,37051,18151,50414,7259,35702,94864,32104,72197,47775,40172,10976,16292,8918,15196,10075,16479,10995,12653,11124,17226,8622,8225,tusks & ivory products
AVES,Strigiformes,Tytonidae,Tyto,Tyto alba,,BOD,0,0,0,0,0,2,1,0,2,2,1,5,8,4,6,0,1,2,3,2,3,2,5,1,0,5,0,0,3,2,1,0,2,0,0,0,0,0,0,0,bodies
AVES,Falconiformes,Accipitridae,Buteo,Buteo jamaicensis,,FEA,0,0,0,0,0,0,17,0,0,0,48,6,0,1,27,0,0,1,0,88,59,43,7,0,0,2,6,14,4,29,4,53,7,68,254,214,219,71,55,234,feathers
MAMMALIA,Carnivora,Felidae,Panthera,Panthera pardus,,BEL+GAR+HAN+LEA+LPL+LPS+SKO,0,0,0,0,0,21,21,1,0,3,4,2,0,6,6,1,0,3,0,1,0,0,0,1,0,8,1,0,0,2,0,0,0,0,0,1,0,0,0,1,leather products & items
REPTILIA,Testudines,Testudinidae,Chelonoidis,Chelonoidis carbonaria,,LIV,0,0,0,548,59,399,1792,1703,564,3465,715,1702,84,187,318,205,1546,603,289,406,661,1132,1126,638,923,848,2234,1432,2136,2436,2324,3841,3407,2519,5051,9076,5608,3749,2940,4779,live
Orchidales,Orchidales,Orchidaceae,Orchidaceae,Orchidaceae hybrid,,LIV,0,0,0,1,125,467,821,20886,29615,55763,331602,305472,236832,344794,480368,688853,868905,1301169,2574065,4019993,6228310,5425956,5192762,6078068,8499488,9834831,12389856,13272057,15813903,14399984,16181666,19300635,19498234,19847864,19535369,14092159,14866258,14429361,17619066,19719413,live
MAMMALIA,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,,BEL+GAR+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,83,3504,873,409,239,3193,10240,26469,42773,15351,261373,25962,10022,7362,2,7,182,70,247,223,35,59,115,92,368,279,92,684,91,496,194,549,1048,1714,8531,2943,2098,2691,leather products & items
BIVALVIA,Veneroida,Tridacnidae,Tridacna,Tridacna gigas,,SHE,0,0,0,0,0,0,0,0,0,602,1449,5390,8621,2743,4794,3910,4318,75,0,1,3,5,3,4,148,21,2261,0,5,106,13,53,250,991,315,670,43,570,0,5,shells
REPTILIA,Serpentes,Colubridae,Ptyas,Ptyas mucosus,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,0,0,0,0,236273,3286832,4670392,6027292,6914522,3352893,2294283.5,1800065,1638648,1311899,296529,11408.5,6858,9552,26672,16045,76986,35827,6404,19732,65391,43633,47967,41334,17551,27970,8000,24593,22888,17380,2926,leather products & items
REPTILIA,Crocodylia,Alligatoridae,Alligator,Alligator mississippiensis,,SKI,0,0,0,0,0,2822,13505,8589,6007,6148,6252,9344,11435,12396,16381,10319,14138,20095,24983,23236,21888,54033,27590,43592,32558,18310.5,21048,28015,20597,40094,19886,15352,8375,9956,3091,3884,6004,8256,5482,4145,skins
MAMMALIA,Carnivora,Felidae,Puma,Puma concolor,,PLA+SKI,0,0,0,5,11,10,111,8,2,10,8,19,10,9,9,15,13,14,7,19,17,22,17,71,60,76,94,60,98,55,61,66,78,82,32,29,1,3,13,8,plates & skins
REPTILIA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus niloticus,,TRO,0,0,0,0,0,2,0,0,0,0,2,0,0,6,12,12,17,18,49,38,71,102,64,93,99,147,121,139,164,124,216,209,178,224,255,198,190,250,211,188,trophies
REPTILIA,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,,BOD+CAP,0,0,0,0,0,8,14,0,0,0,1,3,3,14,15,0,0,1,0,5,0,1,0,0,0,2,4,9,3,12,6,10,7,5,5,3,5,7,14,12,bodies & carapaces
AVES,Psittaciformes,Psittacidae,Amazona,Amazona ochrocephala,,LIV,0,0,0,0,0,0,2681,5260,5030,8003,10018,7109,6186,8011,6153,1236,879,680,145,118,95,95,86,55,86,29,247,82,15,11,43,11,29,12,18,9,5,14,10,7,live
BIVALVIA,Veneroida,Tridacnidae,Tridacna,Tridacna crocea,,SHE,0,0,0,0,0,0,0,0,0,0,0,217,3721,1235,1641,2817,1347,31045,2879,3127,177,24,0,8,46,0,0,0,43,2,76,42,3,0,0,181,4,0,19,10,shells
MAMMALIA,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,,SKP,0,0,0,900,0,444,389,1338,3110,2703,10193,34040,36288,24559,15544,2120,0,53,1,14,21,23,39,4841,2392,5357,130,1028,223,430,899,1543,535,672,1003,651,2391,3816,3806,5373,skin pieces
MAMMALIA,Artiodactyla,Hippopotamidae,Hippopotamus,Hippopotamus amphibius,,TEE+TUS,0,0,0,0,0,0,0,0,1,0,66,149,114,331,2538,1007,2288,2033,3422,3233,2856,903,3280,1734,1470,2037,1480,1821,2673,1848,1699,608,1827,672,1048,1327,1895,2494,388,462,tusks & teeth
MAMMALIA,Primates,Cercopithecidae,Papio,Papio ursinus,,TRO,0,0,0,20,14,0,0,80,139,115,155,122,180,173,258,270,233,200,274,249,261,216,204,217,258,310,348,323,401,428,578,410,494,618,783,605,504,546,555,500,trophies
REPTILIA,Crocodylia,Crocodylidae,Osteolaemus,Osteolaemus tetraspis,,BOD,0,0,0,0,0,0,6,0,0,1,0,3,2,1,0,0,0,1,2,11,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bodies
MAMMALIA,Carnivora,Felidae,Leopardus,Leopardus pardalis,,BEL+FPL+FPS+FRA+GAR+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,7,13,2,2,1,1,3,3,5,2,0,0,4,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,leather/fur products & items
REPTILIA,Serpentes,Boidae,Boa,Boa constrictor,,LIV,0,0,4564,12202,56707,19717,13606,4171,1612,4445,17429,7936,3155,4481,5550,12430,12547,33824,46659,24343,23555,27581,31959,25325,9419,8187,22701,19949,17186,23731,21058,21402,16953,17363,15719,13554,7456,7513,13039,3413,live
ACTINOPTERYGII,Osteoglossiformes,Osteoglossidae,Scleropages,Scleropages formosus,,LIV,0,0,0,0,0,0,0,0,0,0,68,0,3,1,4,0,0,0,108,0,0,0,0,0,0,0,6,1,3,0,4,5,2,0,0,0,0,0,0,0,live
REPTILIA,Serpentes,Pythonidae,Python,Python bivittatus,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,230,2672,3157,0,19958,25557,48205,54412,136127,64083,27908,7984,1589,86,59.5,48,530.5,1270,180,13486,13712,27704,19504,7896,7851,17494,12319,9319,13644,21307,16649,20709,38292,51741.5,36618.26,37846,leather products & items
MAMMALIA,Carnivora,Felidae,Leptailurus,Leptailurus serval,,SKI,0,0,0,0,1,7,14,2,3,3,18,11,8,7,9,2,0,4,2,0,0,0,0,0,1,0,2,0,1,0,0,2,0,2,0,0,0,0,1,1,skins
MAMMALIA,Carnivora,Felidae,Panthera,Panthera pardus,,SKP,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,1,0,0,4,1,0,7,0,0,2,0,0,0,2,0,3,skin pieces
REPTILIA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus niloticus,,SKU,0,0,0,0,0,3,1,0,0,2,0,0,4,0,1,1,0,0,0,1,601,3,1,3,7,6,26,2,82,6,278,2,3,4,5,4,213,40,102,9,skulls
MAMMALIA,Carnivora,Felidae,Panthera,Panthera tigris,,TEE,0,0,0,0,0,1,12,0,2,1,0,0,0,2,4,0,0,12,2,6,2,4,5,0,2,0,4,0,0,2,0,4,0,0,0,0,0,0,6,0,teeth
MAMMALIA,Artiodactyla,Bovidae,Kobus,Kobus leche,,TRO,0,0,0,0,1,0,143,150,114,63,183,275,279,278,297,224,199,249,212,187,192,183,214,207,298,292,248,237,231,250,267,289,265,283,319,265,256,318,298,259,trophies
MAMMALIA,Carnivora,Felidae,Panthera,Panthera leo,,TRO,0,0,2,129,95,155,144,186,191,189,268,327,298,271,246,353,255,311,278,315,238,245,271,270,275,349,300,291,313,328,422,458,569,655,556,497,443,557,621,735,trophies
AVES,Strigiformes,Tytonidae,Tyto,Tyto alba,,FEA,0,0,0,0,0,0,0,0,0,0,24,2,0,14,7,0,0,0,2,0,3,0,1,0,1,1,2,1,3,0,0,2,14,0,2,0,5,0,0,1,feathers
AVES,Psittaciformes,Psittacidae,Amazona,Amazona finschi,,LIV,0,0,0,0,0,0,522,1001,1,1,1,3,1,1,0,0,2,1,2,2,23,30,14,8,12,8,18,5,10,5,7,7,2,1,3,1,2,1,1,2,live
REPTILIA,Testudines,Testudinidae,Testudo,Testudo graeca,,LIV,0,0,4,201,700,74,1361,275,954,0,299,2000,10000,110,856,1510,16,1545,3559,3268,5591,700,2,1040,3,62,1509,7475,4503,3802,1002,5444,4324,4200,1409,268,2175,2958,4143,204,live
REPTILIA,Serpentes,Elapidae,Naja,Naja naja,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,0,0,0,0,4686,30133,73868,135758,143083,52394,34003,101779.5,43842.5,19336,2067.5,38,369,278,2205,1984,1526,738,66,144,47,2758,4203,2524,445,14,319,813,101,325,20,leather products & items
REPTILIA,Sauria,Varanidae,Varanus,Varanus exanthematicus,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,11105,69718,79413,67813,90202,0,115964,49154,191383,86385,359,426,1991,1240,1160,3376,378,233,336.5,125.5,17,565,278,2,343,2,0,0,0,72,4,10,120,4,64,0,0,6,leather products & items
GASTROPODA,Mesogastropoda,Strombidae,Strombus,Strombus gigas,,SHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,330699,25582,134124,137585,68859,86141,194765,220035,342158,218144,138531,4514,85975,65800,120030,47422,35163,40071,47667,113530,63969,102416,shells
REPTILIA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus moreletii,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,0,0,0,4,6,0,1,26,7,33,21,3,21,0,0,0,7,2,7,39,21,170,50,69,11,0,1,9,0,10,1,0,0,0,0,16,1250,8275,leather products & items
AVES,Falconiformes,Accipitridae,Buteo,Buteo jamaicensis,,BOD,0,0,0,0,0,3,7,1,0,4,4,2,9,2,6,0,2,3,6,4,6,1,3,2,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,bodies
AVES,Strigiformes,Strigidae,Bubo,Bubo virginianus,,FEA,0,0,0,0,0,0,0,0,0,0,0,7,0,1,3,0,0,0,0,1,2,6,6,0,0,4,3,8,54,0,1,2,4,0,1,0,2,0,0,0,feathers
MAMMALIA,Carnivora,Felidae,Lynx,Lynx canadensis,,BEL+FPL+FPS+GAR+HAN+LPL+LPS+SHO+SKO+WAL+WAT,0,0,16,44,39,302,781,905,1293,1039,846,1081,1014,581,444,279,263,134,188,111,372,463,25,14,17,43,58,71,19,139,312,503,101,79,190,267,208,121,109,272,leather/fur products & items
CYCADOPSIDA,Cycadales,Cycadaceae,Cycas,Cycas revoluta,,LIV,0,0,0,0,0,6704,0,4100,735,0,26874,30240,45821,37573,47116,120259,9655,18543,40526,27430,5832,16557,54517,18296,35100,37917,105790,50040,1250,0,0,86200,48000,0,0,0,0,0,0,0,live
REPTILIA,Serpentes,Pythonidae,Python,Python regius,,LIV,0,0,40,1552,3437,2987,2846,1006,3036,4053,12951,10080,13634,24926,31913,55773,64676,77455,90087,122238,121960,103913,100022,81408,111439,107731,153461,181364,139965,112647,162759,143811,144731,110113,69545,65068,90005,86136,100163,47219,live
REPTILIA,Serpentes,Boidae,Boa,Boa constrictor,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,0,0,444,18696,37327,55358,191063,87899,103769,165912,54244,116983,58898,21732,219,307,687,1,6,4,14.5,3,2,480,309,942,164,0,0,0,0,1,0,0,2,5,10,0,0,0,leather products & items
MAMMALIA,Carnivora,Ursidae,Ursus,Ursus americanus,,SKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,2415,3326,933,1021,857,2044,1989,1437,543,1258,1237,814,1243,1411,1490,1134,799,515,484,275,347,331,493,skins
MAMMALIA,Carnivora,Ursidae,Ursus,Ursus americanus,,SKU+TRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,3536,6439,7526,11474,8494,8540,6607,7767,6519,5875,6888,8071,10733,11376,10395,8930,7019,9005,7691,8174,7851,6480,7186,skulls & trophies
MAMMALIA,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,,TRO,0,0,27,465,48,220,123,187,178,143,392,228,217,185,224,63,48,99,93,246,100,148,118,162,207,245,296,267,277,304,349,359,327,496,542,454,377,432,465,322,trophies
REPTILIA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus niloticus,,BOD,0,0,0,0,0,0,1,0,1,0,0,0,1,1,6,0,0,1,1,2,0,2,3,1,2,3,0,1,28,0,1,0,0,0,0,2,0,0,0,0,bodies
REPTILIA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus siamensis,,BOD,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,3,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,bodies
