Class,Order,Family,Genus,Taxon,Unit,Terms,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AVES,Psittaciformes,Psittacidae,Amazona,Amazona albifrons,,LIV,,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Crocodylia,Alligatoridae,Caiman,Caiman crocodilus + subspecies,,SID+SKD+SKI+SKP,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Odobenidae,Odobenus,Odobenus rosmarus,,CAR+IVC+IVP+TUS,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III
AVES,Strigiformes,Tytonidae,Tyto,Tyto alba,,BOD,,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
AVES,Falconiformes,Accipitridae,Buteo,Buteo jamaicensis,,FEA,,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Felidae,Panthera,Panthera pardus,,BEL+GAR+HAN+LEA+LPL+LPS+SKO,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
REPTILIA,Testudines,Testudinidae,Chelonoidis,Chelonoidis carbonaria,,LIV,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
Orchidales,Orchidales,Orchidaceae,Orchidaceae,Orchidaceae hybrid,,LIV,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,,BEL+GAR+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,,III,II,II,II,II,II,II,II,II,II,II,II,II,II,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
BIVALVIA,Veneroida,Tridacnidae,Tridacna,Tridacna gigas,,SHE,,,,,,,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Serpentes,Colubridae,Ptyas,Ptyas mucosus,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,,,,,,,,,,III,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Crocodylia,Alligatoridae,Alligator,Alligator mississippiensis,,SKI,I,I,I,I,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Felidae,Puma,Puma concolor,,PLA+SKI,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus niloticus,,TRO,I,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
REPTILIA,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,,BOD+CAP,II,II,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
AVES,Psittaciformes,Psittacidae,Amazona,Amazona ochrocephala,,LIV,,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
BIVALVIA,Veneroida,Tridacnidae,Tridacna,Tridacna crocea,,SHE,,,,,,,,,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,,SKP,,III,II,II,II,II,II,II,II,II,II,II,II,II,II,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
MAMMALIA,Artiodactyla,Hippopotamidae,Hippopotamus,Hippopotamus amphibius,,TEE+TUS,,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Primates,Cercopithecidae,Papio,Papio ursinus,,TRO,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Crocodylia,Crocodylidae,Osteolaemus,Osteolaemus tetraspis,,BOD,I,I,I,I,I,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
MAMMALIA,Carnivora,Felidae,Leopardus,Leopardus pardalis,,BEL+FPL+FPS+FRA+GAR+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
REPTILIA,Serpentes,Boidae,Boa,Boa constrictor,,LIV,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
ACTINOPTERYGII,Osteoglossiformes,Osteoglossidae,Scleropages,Scleropages formosus,,LIV,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
REPTILIA,Serpentes,Pythonidae,Python,Python bivittatus,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Felidae,Leptailurus,Leptailurus serval,,SKI,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Felidae,Panthera,Panthera pardus,,SKP,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
REPTILIA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus niloticus,,SKU,I,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
MAMMALIA,Carnivora,Felidae,Panthera,Panthera tigris,,TEE,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
MAMMALIA,Artiodactyla,Bovidae,Kobus,Kobus leche,,TRO,I,I,I,I,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Felidae,Panthera,Panthera leo,,TRO,,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
AVES,Strigiformes,Tytonidae,Tyto,Tyto alba,,FEA,,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
AVES,Psittaciformes,Psittacidae,Amazona,Amazona finschi,,LIV,,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,I,I,I,I,I,I,I,I,I,I
REPTILIA,Testudines,Testudinidae,Testudo,Testudo graeca,,LIV,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Serpentes,Elapidae,Naja,Naja naja,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,,,,,,,,,,III,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Sauria,Varanidae,Varanus,Varanus exanthematicus,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
GASTROPODA,Mesogastropoda,Strombidae,Strombus,Strombus gigas,,SHE,,,,,,,,,,,,,,,,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus moreletii,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II
AVES,Falconiformes,Accipitridae,Buteo,Buteo jamaicensis,,BOD,,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
AVES,Strigiformes,Strigidae,Bubo,Bubo virginianus,,FEA,,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Felidae,Lynx,Lynx canadensis,,BEL+FPL+FPS+GAR+HAN+LPL+LPS+SHO+SKO+WAL+WAT,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
CYCADOPSIDA,Cycadales,Cycadaceae,Cycas,Cycas revoluta,,LIV,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Serpentes,Pythonidae,Python,Python regius,,LIV,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Serpentes,Boidae,Boa,Boa constrictor,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Ursidae,Ursus,Ursus americanus,,SKI,,,,,,,,,,,,,,,,,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Carnivora,Ursidae,Ursus,Ursus americanus,,SKU+TRO,,,,,,,,,,,,,,,,,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
MAMMALIA,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,,TRO,,III,II,II,II,II,II,II,II,II,II,II,II,II,II,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
REPTILIA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus niloticus,,BOD,I,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
REPTILIA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus siamensis,,BOD,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
MAMMALIA,Carnivora,Ursidae,Ursus,Ursus americanus,,CLA,,,,,,,,,,,,,,,,,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Sauria,Iguanidae,Iguana,Iguana iguana,,EGG,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
AVES,Psittaciformes,Psittacidae,Ara,Ara ararauna,,FEA,,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
AVES,Psittaciformes,Psittacidae,Ara,Ara macao,,FEA,,III,III,III,III,III,II,II,II,II,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
MAMMALIA,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,,FOO,,III,II,II,II,II,II,II,II,II,II,II,II,II,II,I,I,I,I,I,I,I,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II,I/II
AVES,Psittaciformes,Psittacidae,Amazona,Amazona aestiva,,LIV,,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
AVES,Psittaciformes,Psittacidae,Amazona,Amazona amazonica,,LIV,,III,III,III,III,III,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
CARYOPHYLLALES,Caryophyllales,Cactaceae,Echinocereus,Echinocereus pectinatus,,LIV,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Crocodylia,Crocodylidae,Crocodylus,Crocodylus siamensis,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
REPTILIA,Serpentes,Pythonidae,Python,Python regius,,BEL+HAN+LEA+LPL+LPS+SHO+SKO+WAL+WAT,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
REPTILIA,Sauria,Iguanidae,Iguana,Iguana iguana,KIL,MEA,,,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II
